Year,370Z,Altima,Armada,GT-R,Maxima,Murano,NV,Pathfinder,Quest,Rogue,Sentra,Titan,Versa,Xterra,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y
1997,,,,,0.1392227878138952,,,,,,0.3099270911905095,,,,,,,,0.1392227878138952,,,,,,0.3099270911905095,,,
1998,,0.14813620179309953,,,0.10017570493066816,,,0.15304111853939364,0.08872588415963407,,0.1392965605050438,,,,,0.14813620179309953,,,0.10017570493066816,,,0.15304111853939364,0.08872588415963407,,0.1392965605050438,,,
1999,,0.13763815483873904,,,0.12158639665292574,,,0.12229941186881466,0.1402992274329201,,0.17962741321251752,,,,,0.13763815483873904,,,0.12158639665292574,,,0.12229941186881466,0.1402992274329201,,0.17962741321251752,,,
2000,,0.15179940572412298,,,0.12772182942581048,,,0.15247236504614906,0.09390598817494204,,0.21946188619436077,,,0.13323801840116745,,0.15179940572412298,,,0.12772182942581048,,,0.15247236504614906,0.09390598817494204,,0.21946188619436077,,,0.13323801840116745
2001,,0.18965070282988047,,,0.12372433102402088,,,0.14122265309405344,0.07539296686504407,,0.17798315537136666,,,0.16054217840391705,,0.18965070282988047,,,0.12372433102402088,,,0.14122265309405344,0.07539296686504407,,0.17798315537136666,,,0.16054217840391705
2002,,0.21241400926877932,,,0.40709467922804354,,,0.16245747101683644,0.09984508178956254,,0.2433749794766075,,,0.19739662096262278,,0.21241400926877932,,,0.40709467922804354,,,0.16245747101683644,0.09984508178956254,,0.2433749794766075,,,0.19739662096262278
2003,,0.22843740664664508,,,0.15753002641682115,0.1994430316993466,,0.19065066873107828,,,0.22721264878519448,,,0.2219168303213582,,0.22843740664664508,,,0.15753002641682115,0.1994430316993466,,0.19065066873107828,,,0.22721264878519448,,,0.2219168303213582
2004,,0.2259774695588829,,,0.18917501888294586,0.21834821115961342,,0.24739533326053614,0.19867668923180778,,0.2299954776220102,0.2641645692102296,,0.20741626863418652,,0.2259774695588829,,,0.18917501888294586,0.21834821115961342,,0.24739533326053614,0.19867668923180778,,0.2299954776220102,0.2641645692102296,,0.20741626863418652
2005,,0.2642541845763895,0.19993271745586796,,0.21588278206308234,0.22577236588458063,,0.26941561843232864,0.224181131542656,,0.2836901378251091,0.2749794503243988,,0.27165626176275287,,0.2642541845763895,0.19993271745586796,,0.21588278206308234,0.22577236588458063,,0.26941561843232864,0.224181131542656,,0.2836901378251091,0.2749794503243988,,0.27165626176275287
2006,,0.32027704426375225,0.22536845130612007,,0.22120219884252168,0.2631116506921869,,0.28937655411649515,0.19869841716935674,,0.3081105526201172,0.31680153163765923,,0.275081643326684,,0.32027704426375225,0.22536845130612007,,0.22120219884252168,0.2631116506921869,,0.28937655411649515,0.19869841716935674,,0.3081105526201172,0.31680153163765923,,0.275081643326684
2007,,0.32588591158816715,0.2617684823038168,,0.27092945310053473,0.2944347433594988,,0.31334254952826707,0.2160144773816116,,0.3575604533231234,0.3447561235704,0.43568704882129217,0.3171216336359903,,0.32588591158816715,0.2617684823038168,,0.27092945310053473,0.2944347433594988,,0.31334254952826707,0.2160144773816116,,0.3575604533231234,0.3447561235704,0.43568704882129217,0.3171216336359903
2008,,0.37746588703386325,0.29191546359065235,,0.35579247258418417,,,0.3520715467975859,0.23955229733501884,0.3615504630381104,0.37235185562516054,0.37728226934982545,0.4408826899588593,0.3606026516400564,,0.37746588703386325,0.29191546359065235,,0.35579247258418417,,,0.3520715467975859,0.23955229733501884,0.3615504630381104,0.37235185562516054,0.37728226934982545,0.4408826899588593,0.3606026516400564
2009,0.5790687674854826,0.41105068661099115,0.3252101681031512,0.6263185447456998,0.38839616044762976,0.37087913722639976,,0.3702149970491919,0.2827639470663787,0.38512678895782887,0.3981677796384625,0.4113908597608562,0.45206037532766635,0.371803179575641,0.5790687674854826,0.41105068661099115,0.3252101681031512,0.6263185447456998,0.38839616044762976,0.37087913722639976,,0.3702149970491919,0.2827639470663787,0.38512678895782887,0.3981677796384625,0.4113908597608562,0.45206037532766635,0.371803179575641
2010,0.6455126531657828,0.46068468698319703,0.37842026034158244,0.6563900558113313,0.41329002936549736,0.43606522088855576,,0.4341836935119298,,0.42294411504809565,0.44469602969320626,0.4719579341447049,0.5275780457989948,0.4383184223753028,0.6455126531657828,0.46068468698319703,0.37842026034158244,0.6563900558113313,0.41329002936549736,0.43606522088855576,,0.4341836935119298,,0.42294411504809565,0.44469602969320626,0.4719579341447049,0.5275780457989948,0.4383184223753028
2011,0.6862330991055404,0.48916911379771927,0.4433048218023512,0.6428679020830068,0.469595477098051,0.48487115031846,,0.48262172265242087,0.5134746136862105,0.4868960564671303,0.5008219997436449,0.5492050890149068,0.5628494596332051,0.5475508274687646,0.6862330991055404,0.48916911379771927,0.4433048218023512,0.6428679020830068,0.469595477098051,0.48487115031846,,0.48262172265242087,0.5134746136862105,0.4868960564671303,0.5008219997436449,0.5492050890149068,0.5628494596332051,0.5475508274687646
2012,0.7339771604563807,0.5319071843817541,0.5016884026760372,0.652367115809804,0.5095321833642251,0.5345250162249027,0.8083055015544707,0.5387529668606296,0.5217262548217477,0.5356590415258273,0.5473203223158184,0.6022158904332306,0.623925301415075,0.6602796026975216,0.7339771604563807,0.5319071843817541,0.5016884026760372,0.652367115809804,0.5095321833642251,0.5345250162249027,0.8083055015544707,0.5387529668606296,0.5217262548217477,0.5356590415258273,0.5473203223158184,0.6022158904332306,0.623925301415075,0.6602796026975216
2013,0.8049831540448249,0.6404333090513185,0.602999684789345,0.7186652213165036,0.573413427631214,0.6225013173577075,0.7637737797400876,0.6297820913172029,0.6570083290539288,0.6010510482000018,0.6520947148774019,0.6424855394545764,0.6770886359441693,0.7041428916150135,0.8049831540448249,0.6404333090513185,0.602999684789345,0.7186652213165036,0.573413427631214,0.6225013173577075,0.7637737797400876,0.6297820913172029,0.6570083290539288,0.6010510482000018,0.6520947148774019,0.6424855394545764,0.6770886359441693,0.7041428916150135
2014,0.8770964443299766,0.7281495564711871,0.7412154152192818,0.7696536454920085,0.6858185088026825,0.7146979499144016,0.7840871677653447,0.7628028993683634,0.7173496660451703,0.7442300092034952,0.7489229904855661,0.7178684741547807,0.7573525636368854,0.8222372938321125,0.8770964443299766,0.7281495564711871,0.7412154152192818,0.7696536454920085,0.6858185088026825,0.7146979499144016,0.7840871677653447,0.7628028993683634,0.7173496660451703,0.7442300092034952,0.7489229904855661,0.7178684741547807,0.7573525636368854,0.8222372938321125
2015,0.9172728196687441,0.7857794646787349,0.8224547397896967,0.8235610122019686,,0.991784955549938,0.8425587990084322,0.8702717528334533,0.7573557386661468,0.8630669189725741,0.8040246736793797,0.8102726125041376,0.8405410282423936,1.0,0.9172728196687441,0.7857794646787349,0.8224547397896967,0.8235610122019686,,0.991784955549938,0.8425587990084322,0.8702717528334533,0.7573557386661468,0.8630669189725741,0.8040246736793797,0.8102726125041376,0.8405410282423936,1.0
2016,0.937333628389911,0.8796464951226916,,0.8943953466252451,0.9444158837072407,0.9427693622242811,1.0542261370180859,0.8584745738378412,0.6932175697262166,0.8978528319415179,0.8552749932901424,1.0735716394669754,0.8998023531290898,,0.937333628389911,0.8796464951226916,,0.8943953466252451,0.9444158837072407,0.9427693622242811,1.0542261370180859,0.8584745738378412,0.6932175697262166,0.8978528319415179,0.8552749932901424,1.0735716394669754,0.8998023531290898,
2017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
