Year,370Z,Altima,Armada,GT-R,Maxima,Murano,NV,Pathfinder,Quest,Rogue,Sentra,Titan,Versa,Xterra
1997,,,,,3701.0,,,,,,4995.0,,,
1998,,2832.75,,,2663.0,,,4395.0,2338.0,,2245.0,,,
1999,,2632.0,,,3232.1666666666665,,,3512.1666666666665,3697.0,,2895.0,,,
2000,,2902.8,,,3395.266666666667,,,4378.666666666667,2474.5,,3537.0,,,3543.0
2001,,3626.6153846153848,,,3289.0,,,4055.6,1986.6666666666667,,2868.5,,,4269.058823529412
2002,,4061.909090909091,,,10821.916666666666,,,4665.416666666667,2631.0,,3922.4,,,5249.074074074074
2003,,4368.318181818182,,,4187.666666666667,5694.153846153846,,5475.0625,,,3661.9166666666665,,,5901.103448275862
2004,,4321.277777777777,,,5028.894736842105,6233.901960784314,,7104.642857142857,5235.294117647059,,3706.766666666667,9758.545454545454,,5515.511627906977
2005,,5053.228260869565,8371.882352941177,,5738.875,6445.863636363636,,7737.016393442623,5907.357142857143,,4572.14705882353,10158.059701492537,,7223.75
2006,,6124.53125,9436.965517241379,,5880.282608695652,7511.910569105691,,8310.25,5235.866666666667,,4965.723404255319,11703.015873015873,,7314.836065573771
2007,,6231.787401574803,10961.162162162162,,7202.196721311476,8406.193548387097,,8998.5,5692.159090909091,,5762.692307692308,12735.690909090908,5590.916666666667,8432.742857142857
2008,,7218.1308724832215,12223.521739130434,,9458.135135135135,,,10110.71052631579,6312.4,8048.378378378378,6001.080808080808,13937.244444444445,5657.589285714285,9588.96875
2009,16665.746268656716,7860.359712230216,13617.6875,59939.40740740741,10324.848484848484,10588.70218579235,,10631.75,7451.0625,8573.204678362574,6417.148148148148,15197.255319148937,5801.025974025974,9886.807692307691
2010,18578.01818181818,8809.49107142857,15845.78021978022,62817.28571428572,10986.60946745562,12449.782945736433,,12468.788461538461,,9415.04608294931,7167.029702970297,17434.673267326732,6770.1,11655.548387096775
2011,19749.962962962964,9354.1875,18562.72380952381,61523.2,12483.393617021276,13843.205761316873,,13859.82075471698,13530.478260869566,10838.66318537859,8071.59477124183,20288.272727272728,7222.717391304348,14560.202898550724
2012,21124.049180327867,10171.450721153846,21007.448598130843,62432.28571428572,13545.042735042734,15260.837398373984,17909.304347826088,15471.785046728972,13747.915789473684,11924.162983425414,8820.993993993994,22246.55319148936,8006.467889908256,17557.83116883117
2013,23167.61971830986,12246.75288184438,25249.70642201835,68777.09090909091,15243.216494845361,17772.585185185184,16922.632653061224,18085.938718662954,17312.709677419356,13379.836994219653,10509.610787172012,23734.160714285714,8688.681818181818,18724.222222222223
2014,25243.058536585366,13924.115990057995,31037.282608695652,73656.74193548386,18231.313572542902,20404.82460414129,17372.708333333332,21906.0,18902.75352112676,16567.105637982197,12070.162447257384,26518.89371980676,9718.661782661782,21864.530612244896
2015,26399.344827586207,15026.149932462855,34439.05734767025,78815.73913043478,,28315.735431235433,18668.241071428572,24992.266066838045,19956.946428571428,19212.50237486299,12958.21939799331,29932.409722222223,10786.170616113744,26591.50925925926
2016,26976.7,16821.13203185204,,85594.66666666667,25105.683060109288,26916.326653306613,23358.0703125,24653.477366255145,18266.852941176472,19986.862300884957,13784.205101509631,39658.98104265403,11546.636482368307,
2017,28780.254098360656,19122.604506604508,41873.49854227405,95701.15384615384,26583.29184549356,28550.27722772277,22156.603305785124,28717.77233429395,26350.82222222222,22260.73315118397,16116.693706293707,36941.15938303342,12832.41418764302,
